member_id,full_name,email,signup_date,last_checkin_date,membership_status,plan_name,monthly_fee,partner_name,days_since_last_checkin,days_since_signup,member_health_flag,is_currently_active
M007,Jamie Morris,jamie.morris.m007@example.com,2026-02-05,2026-03-16,active,Basic,79.0,Atlas Wellness Club,30.0,69,healthy,True
M037,Jamie Morris,jamie.morris.m037@example.com,2025-02-26,2026-02-27,active,Basic,79.0,Atlas Wellness Club,47.0,413,at_risk,True
M002,Jordan Perry,jordan.perry.m002@example.com,2025-07-19,2026-04-10,active,Basic,79.0,Atlas Wellness Club,5.0,270,healthy,True
M017,Jordan Perry,jordan.perry.m017@example.com,2025-06-03,2026-03-20,cancelled,Basic,79.0,Atlas Wellness Club,26.0,316,healthy,False
M032,Jordan Perry,jordan.perry.m032@example.com,2025-07-18,2026-04-11,active,Basic,79.0,Atlas Wellness Club,4.0,271,healthy,True
M047,Jordan Perry,jordan.perry.m047@example.com,2025-04-09,2026-03-21,active,Basic,79.0,Atlas Wellness Club,25.0,371,healthy,True
M022,Jamie Morris,jamie.morris.m022@example.com,2025-03-15,2026-04-13,active,Corporate,249.0,Atlas Wellness Club,2.0,396,healthy,True
M012,Logan Bennett,logan.bennett.m012@example.com,2025-04-11,2026-04-14,active,Premium,129.0,Atlas Wellness Club,1.0,369,healthy,True
M027,Logan Bennett,logan.bennett.m027@example.com,2025-12-29,2026-03-21,active,Premium,129.0,Atlas Wellness Club,25.0,107,healthy,True
M042,Logan Bennett,logan.bennett.m042@example.com,2025-05-08,2026-04-12,active,Premium,129.0,Atlas Wellness Club,3.0,342,healthy,True
M008,Cameron Carter,cameron.carter.m008@example.com,2025-05-06,2026-02-10,paused,Basic,79.0,Blue Harbor Gym,64.0,344,inactive,False
M023,Cameron Carter,cameron.carter.m023@example.com,2025-01-13,2026-04-13,active,Basic,79.0,Blue Harbor Gym,2.0,457,healthy,True
M038,Cameron Carter,cameron.carter.m038@example.com,2026-01-13,2026-02-03,paused,Basic,79.0,Blue Harbor Gym,71.0,92,inactive,False
M013,Harper Diaz,harper.diaz.m013@example.com,2026-02-20,2026-04-10,active,Basic,79.0,Blue Harbor Gym,5.0,54,healthy,True
M028,Harper Diaz,harper.diaz.m028@example.com,2025-07-08,2026-01-28,paused,Basic,79.0,Blue Harbor Gym,77.0,281,inactive,False
M043,Harper Diaz,harper.diaz.m043@example.com,2025-10-19,2026-04-13,active,Basic,79.0,Blue Harbor Gym,2.0,178,healthy,True
M033,Taylor Price,taylor.price.m033@example.com,2025-11-21,2026-03-30,active,Corporate,249.0,Blue Harbor Gym,16.0,145,healthy,True
M003,Taylor Price,taylor.price.m003@example.com,2025-12-05,2026-04-05,active,Premium,129.0,Blue Harbor Gym,10.0,131,healthy,True
M018,Taylor Price,taylor.price.m018@example.com,2025-12-07,2026-02-02,paused,Premium,129.0,Blue Harbor Gym,72.0,129,inactive,False
M048,Taylor Price,taylor.price.m048@example.com,2025-05-02,2026-02-19,paused,Premium,129.0,Blue Harbor Gym,55.0,348,at_risk,False
M001,Alex Mason,alex.mason.m001@example.com,2025-11-27,2026-04-13,active,Basic,79.0,North Peak Fitness,2.0,139,healthy,True
M016,Alex Mason,alex.mason.m016@example.com,2026-02-08,2026-03-19,active,Basic,79.0,North Peak Fitness,27.0,66,healthy,True
