order_id,customer_name,phone_number,company_name,service_line,device_type,current_status,opened_at,closed_at,quoted_amount_brl,approved_revenue_brl,technician_name,city,sla_target_hours,hours_open,hours_to_close,revenue_realization_gap_brl,is_b2b_account,order_health_flag
SO0044,Jordan Perry,5565967241912,Atlas Logistics Hub,B2B Support,Notebook,awaiting_part,2026-02-20 12:45:00,,1110.0,1070.0,Morgan Reed,Varzea Grande,24,1307.23,,40.0,True,critical_delay
SO0011,Jordan Perry,5565967241912,Atlas Logistics Hub,B2B Support,Network Router,awaiting_part,2026-01-21 11:15:00,,1235.0,1195.0,Avery Cole,Varzea Grande,48,2028.73,,40.0,True,critical_delay
SO0071,Casey Parker,5565950986743,Atlas Logistics Hub,B2B Support,Network Router,delivered,2026-03-22 15:15:00,2026-03-27 21:15:00,1235.0,1190.0,Avery Cole,Varzea Grande,48,126.0,126.0,45.0,True,sla_breached
SO0064,Taylor Price,5565950815179,Atlas Logistics Hub,B2B Support,Notebook,delivered,2026-03-14 08:45:00,2026-03-18 21:45:00,1180.0,1180.0,Morgan Reed,Varzea Grande,24,109.0,109.0,0.0,True,sla_breached
SO0051,Morgan Ward,5565971557534,Atlas Logistics Hub,B2B Support,Network Router,delivered,2026-02-28 11:15:00,2026-03-04 19:15:00,1165.0,1120.0,Avery Cole,Varzea Grande,48,104.0,104.0,45.0,True,sla_breached
SO0038,Riley Gray,5565989093446,Atlas Logistics Hub,Onsite Visit,Office Notebook,delivered,2026-02-14 14:45:00,2026-02-18 17:45:00,910.0,880.0,Taylor Brooks,Varzea Grande,24,99.0,99.0,30.0,True,sla_breached
SO0031,Taylor Price,5565950815179,Atlas Logistics Hub,B2B Support,Network Router,delivered,2026-02-06 15:15:00,2026-02-10 01:15:00,1095.0,1050.0,Avery Cole,Varzea Grande,48,82.0,82.0,45.0,True,sla_breached
SO0024,Alex Mason,65979646189,Atlas Logistics Hub,B2B Support,Notebook,delivered,2026-01-29 08:45:00,2026-02-01 01:45:00,1040.0,1040.0,Morgan Reed,Varzea Grande,24,65.0,65.0,0.0,True,sla_breached
SO0018,Casey Parker,65950986743,Atlas Logistics Hub,Onsite Visit,Network Router,ready_for_pickup,2026-01-23 10:45:00,,830.0,810.0,Taylor Brooks,Varzea Grande,24,1981.23,,20.0,True,critical_delay
SO0066,Jordan Perry,65991377272,Nova Realty Partners,Onsite Visit,Network Router,awaiting_part,2026-03-12 10:45:00,,830.0,810.0,Avery Cole,Rondonopolis,24,829.23,,20.0,True,critical_delay
